Listing_ID,Brand,Year,Mileage_km,Engine_Size_L,Horsepower,Fuel_Type,Transmission,Doors,Owner_Count,Accident_History,Region,Price_CAD
AV10188,Honda,2014,154000.0,1.8,171.0,Hybrid,Automatic,4,2,0.0,Markham,9437.0
AV10013,Volkswagen,2021,56421.0,2.4,263.0,Gasoline,Automatic,4,2,0.0,Vaughan,24979.0
AV10097,Ford,2005,,2.9,247.0,Gasoline,Manual,4,2,0.0,Markham,8335.0
AV10154,BMW,2023,16422.0,1.8,205.0,HEV,Manual,4,2,0.0,Brampton,34750.0
AV10165,Honda,2019,125434.0,1.2,177.0,Gasoline,Automatic,4,1,0.0,Toronto,15585.0
AV10032,Honda,2010,328206.0,2.1,210.0,Diesel,Manual,2,4,0.0,Vaughan,9159.0
AV10220,Chevrolet,2014,118580.0,,157.0,Gasoline,Automatic,4,3,0.0,Mississauga,7220.0
AV10389,Volkswagen,2009,291387.0,1.8,186.0,Gasoline,Automatic,4,4,0.0,Brampton,5462.0
AV10322,Ford,2017,890000.0,1.5,183.0,Gasoline,Automatic,4,2,0.0,Brampton,10936.0
AV10483,Nissan,2007,,1.3,159.0,Gasoline,Manual,4,2,2.0,Vaughan,1800.0
AV10202,BMW,2005,206662.0,2.9,296.0,Hybrid,Automatic,4,2,,Markham,9795.0
AV10055,Toyota,2014,158624.0,2.5,218.0,Gasoline,Automatic,4,2,0.0,Markham,
AV10268,BMW,2020,82246.0,2.4,266.0,Gasoline,Manual,4,3,0.0,Scarborough,24644.0
AV10050,BMW,2016,9944.0,2.1,243.0,GASOLINE,Automatic,4,4,1.0,Mississauga,16577.0
AV10321,Chevrolet,2010,,1.7,172.0,Gasoline,Automatic,4,1,0.0,Vaughan,5152.0
AV10025,Volkswagen,2018,141429.0,,95.0,Gasoline,Automatic,4,1,1.0,Brampton,11540.0
AV10453,Honda,2006,404903.0,1.8,192.0,Gasoline,Automatic,4,2,2.0,Vaughan,4492.0
AV10326,Honda,2011,156545.0,2.0,227.0,Gas,Automatic,4,2,2.0,Brampton,7288.0
AV10329,Volkswagen,2023,61884.0,1.7,204.0,Gasoline,Automatic,4,2,0.0,Scarborough,26188.0
AV10450,Chevrolet,2010,,1.8,162.0,Gasoline,Automatic,4,2,0.0,Brampton,7336.0
AV10381,Toyota,2011,317596.0,2.4,243.0,Diesel,Automatic,4,1,0.0,Toronto,9244.0
AV10390,Volkswagen,2013,104767.0,1.7,189.0,Gasoline,Automatic,4,2,1.0,Toronto,8294.0
AV10446,Nissan,2022,92401.0,1.1,158.0,Electric,Manual,4,1,0.0,Scarborough,22660.0
AV10476,Toyota,2013,216482.0,1.7,170.0,Diesel,Automatic,4,1,0.0,Scarborough,11225.0
AV10273,Toyota,2018,143877.0,1.1,95.0,Gasoline,Automatic,4,1,0.0,Markham,14501.0
AV10146,Nissan,2017,95302.0,1.7,210.0,Gasoline,Manual,4,3,0.0,Brampton,15102.0
AV10271,Toyota,2011,272863.0,1.6,197.0,Gasoline,Manual,4,2,1.0,Mississauga,7953.0
AV10256,Chevrolet,2007,343421.0,1.4,122.0,Gasoline,Automatic,4,4,,Vaughan,1861.0
AV10040,Toyota,2016,90435.0,1.2,183.0,Gasoline,Auto ,4,3,1.0,Markham,11534.0
AV10423,Hyundai,2023,44826.0,1.6,202.0,Gasoline,Automatic,2,3,0.0,Mississauga,22250.0
AV10427,Volkswagen,2013,144553.0,1.4,199.0,Gasoline,Automatic,2,1,0.0,Vaughan,7165.0
AV10243,Chevrolet,2013,155012.0,1.7,219.0,Gasoline,Automatic,4,2,0.0,Markham,7905.0
AV10259,Ford,2014,48368.0,1.0,95.0,Electric,Automatic,4,1,0.0,Brampton,265000.0
AV10082,BMW,2022,66609.0,2.0,223.0,Hybrid,Automatic,4,3,1.0,Mississauga,31241.0
AV10248,Toyota,2022,73605.0,1.8,178.0,Electric,Automatic,4,1,1.0,Toronto,24540.0
AV10221,Toyota,2013,,1.0,132.0,Diesel,Automatic,4,3,0.0,Toronto,6351.0
AV10217,Ford,2011,170084.0,3.2,340.0,petrol,Manual,4,2,2.0,Vaughan,8611.0
AV10113,Hyundai,2007,216165.0,1.5,155.0,Hybrid,Manual,4,2,0.0,Mississauga,4726.0
AV10480,Chevrolet,2018,145798.0,1.9,202.0,diesel ,Automatic,4,3,1.0,Brampton,13622.0
AV10469,Honda,2012,171947.0,1.0,150.0,Gas,Automatic,2,1,1.0,Brampton,6216.0
AV10232,Chevrolet,2022,53671.0,1.4,166.0,Gasoline,Manual,4,5,0.0,Brampton,22628.0
AV10213,Nissan,2012,245231.0,,208.0,Gasoline,Auto ,4,1,0.0,Vaughan,10661.0
AV10486,Chevrolet,2020,111044.0,1.8,182.0,Hybrid,Manual,2,3,0.0,Mississauga,16698.0
AV10187,Honda,2005,161306.0,1.0,101.0,Gasoline,Automatic,4,3,1.0,Scarborough,2246.0
AV10333,Hyundai,2015,176987.0,1.7,178.0,Gas,Automatic,4,2,1.0,Mississauga,9433.0
AV10236,Chevrolet,2005,286474.0,1.7,169.0,Electric,Automatic,4,2,0.0,Mississauga,6997.0
AV10159,Chevrolet,2019,68914.0,2.0,172.0,Hybrid,Manual,4,2,1.0,Brampton,13837.0
AV10358,Chevrolet,2013,184911.0,1.2,128.0,Gasoline,Automatic,4,1,1.0,Scarborough,
AV10237,Hyundai,2013,163583.0,1.4,148.0,Gasoline,Manual,4,1,0.0,Vaughan,10184.0
AV10179,Toyota,2015,,2.0,177.0,Diesel,Automatic,4,3,0.0,Scarborough,8548.0
AV10090,Ford,2006,291688.0,1.5,165.0,Hybrid,Automatic,4,1,0.0,Toronto,4833.0
AV10340,Honda,2007,225575.0,1.6,156.0,Gasoline,Automatic,4,1,0.0,Scarborough,2707.0
AV10421,Ford,2014,192556.0,1.5,,Electric,Automatic,4,1,0.0,Vaughan,8549.0
AV10060,Ford,2011,230811.0,1.6,187.0,HEV,Automatic,4,2,0.0,Vaughan,9231.0
AV10235,Toyota,2022,60863.0,2.0,,Diesel,Automatic,4,1,0.0,Vaughan,26795.0
AV10477,Ford,2008,260692.0,1.0,116.0,Hybrid,Manual,4,1,0.0,Scarborough,3090.0
AV10350,Ford,2005,285893.0,2.1,223.0,Gasoline,Auto ,4,2,0.0,Scarborough,4323.0
AV10264,Honda,2013,,1.2,141.0,electric ,Automatic,2,2,0.0,Vaughan,10589.0
AV10245,Chevrolet,2007,291728.0,2.0,205.0,Gas,Auto ,4,5,0.0,Scarborough,6397.0
AV10516,Toyota,2012,306509.0,1.7,208.0,diesel ,Automatic,4,1,0.0,Vaughan,9727.0
AV10342,Ford,2007,422330.0,2.2,259.0,Gasoline,Manual,4,2,1.0,Scarborough,6413.0
AV10368,Honda,2016,185442.0,1.5,175.0,Gasoline,Auto ,4,2,0.0,Vaughan,10298.0
AV10120,Volkswagen,2021,76358.0,1.8,181.0,Gasoline,Automatic,4,2,1.0,Brampton,18560.0
AV10467,Honda,2023,,1.4,192.0,Gasoline,Automatic,4,2,0.0,Mississauga,26256.0
AV10375,Ford,2016,234767.0,1.6,206.0,Gasoline,Automatic,4,4,0.0,Markham,10978.0
AV10109,Honda,2016,164527.0,1.1,95.0,Electric,Automatic,4,2,0.0,Scarborough,12413.0
AV10145,Chevrolet,2008,,1.5,188.0,Hybrid,Automatic,4,2,0.0,Scarborough,8222.0
AV10164,Toyota,2005,295779.0,1.0,109.0,gas,Automatic,4,6,0.0,Markham,2472.0
AV10173,Volkswagen,2013,116033.0,2.7,296.0,Gasoline,Automatic,4,2,0.0,Scarborough,10274.0
AV10319,Hyundai,2014,127287.0,1.2,163.0,Electric,Auto ,4,4,0.0,Toronto,
AV10030,Toyota,2019,67267.0,,234.0,Gasoline,Automatic,4,1,2.0,Vaughan,17020.0
AV10022,Toyota,2018,110793.0,1.9,150.0,Electric,Automatic,4,1,0.0,Vaughan,15097.0
AV10277,Honda,2021,82548.0,1.7,193.0,Gasoline,Automatic,4,4,1.0,Brampton,18823.0
AV10031,Honda,2019,106098.0,2.5,212.0,Gasoline,Auto ,4,4,0.0,Markham,16949.0
AV10306,Toyota,2020,123931.0,1.2,140.0,Hybrid,Automatic,2,4,1.0,Markham,17665.0
AV10020,BMW,2015,,2.0,239.0,Gasoline,Automatic,4,4,0.0,Scarborough,12312.0
AV10484,Toyota,2005,283576.0,1.6,,hybrid,Manual,4,3,0.0,Markham,7742.0
AV10052,Chevrolet,2023,61208.0,1.7,156.0,Gasoline,Automatic,4,1,0.0,Vaughan,24124.0
AV10508,Ford,2013,125343.0,2.2,197.0,Diesel,Automatic,4,1,0.0,Markham,8820.0
AV10430,Honda,2021,82122.0,1.9,184.0,Gasoline,Automatic,4,1,0.0,Scarborough,20765.0
AV10228,Hyundai,2008,261362.0,,263.0,Hybrid,Automatic,4,4,0.0,Vaughan,8700.0
AV10261,Volkswagen,2020,43986.0,1.7,187.0,Electric,auto,2,1,0.0,Markham,21859.0
AV10369,Chevrolet,2012,239327.0,1.2,121.0,Gasoline,Automatic,4,3,0.0,Markham,7302.0
AV10056,Honda,2019,113788.0,2.7,286.0,Gasoline,Automatic,4,2,0.0,Scarborough,19744.0
AV10458,Ford,2023,21354.0,1.8,178.0,Gasoline,AUTOMATIC,4,5,0.0,Markham,25909.0
AV10002,Ford,2007,465960.0,1.2,190.0,Gasoline,Automatic,4,1,1.0,Brampton,2511.0
AV10494,Hyundai,2010,234858.0,1.6,124.0,Gasoline,Automatic,4,3,0.0,Scarborough,5447.0
AV10058,Toyota,2013,158733.0,2.2,224.0,Diesel,Automatic,4,4,0.0,Toronto,9905.0
AV10380,Honda,2014,231228.0,1.3,181.0,Gasoline,Automatic,4,4,1.0,Scarborough,10511.0
AV10253,Toyota,2007,190246.0,1.7,248.0,Gasoline,Automatic,4,3,0.0,Vaughan,7484.0
AV10443,Ford,2006,332121.0,2.3,220.0,Gasoline,AUTOMATIC,4,2,3.0,Brampton,2195.0
AV10449,Toyota,2014,207178.0,1.9,221.0,Gasoline,AUTOMATIC,4,3,1.0,Mississauga,9179.0
AV10278,Nissan,2007,279904.0,1.3,95.0,Gasoline,Manual,4,3,2.0,Mississauga,1800.0
AV10242,Toyota,2020,87844.0,1.8,162.0,Gasoline,auto,4,1,0.0,Brampton,17361.0
AV10074,Honda,2007,329435.0,2.4,294.0,Gasoline,Automatic,4,4,1.0,Mississauga,4677.0
AV10274,Ford,2009,199995.0,2.1,205.0,Gasoline,Automatic,4,3,0.0,Scarborough,5415.0
AV10438,Chevrolet,2006,230045.0,2.3,226.0,Gasoline,Automatic,4,3,0.0,Scarborough,5830.0
AV10461,Nissan,2022,42270.0,1.6,152.0,Electric,auto,4,1,2.0,Scarborough,22505.0
AV10080,Toyota,2017,,2.0,228.0,DSL,AUTOMATIC,4,1,1.0,Toronto,13465.0
AV10365,Toyota,2023,14426.0,1.4,164.0,Gasoline,Automatic,4,1,,Toronto,25854.0
AV10026,Volkswagen,2017,,1.9,220.0,Gasoline,Automatic,4,4,0.0,Scarborough,13229.0
AV10204,Toyota,2015,212679.0,1.7,210.0,Hybrid,Automatic,4,1,1.0,Markham,11146.0
AV10292,Ford,2012,118617.0,1.8,190.0,Diesel,Automatic,4,1,1.0,Brampton,6766.0
AV10367,Chevrolet,2014,216422.0,,222.0,Gasoline,Automatic,2,4,1.0,Scarborough,6403.0
AV10344,Ford,2006,412842.0,1.9,242.0,Gasoline,Automatic,4,1,0.0,Vaughan,6277.0
AV10351,Hyundai,2008,312896.0,1.5,135.0,Gasoline,Automatic,2,3,0.0,Mississauga,5114.0
AV10108,Toyota,2017,54993.0,1.1,167.0,Diesel,Automatic,4,2,0.0,Scarborough,14965.0
AV10014,Nissan,2013,177775.0,1.8,226.0,Diesel,Automatic,2,1,0.0,Mississauga,9669.0
AV10147,Ford,2011,314111.0,1.9,241.0,Electric,Manual,4,2,0.0,Vaughan,10544.0
AV10114,Honda,2014,149887.0,2.3,215.0,HEV,Automatic,4,1,0.0,Scarborough,12781.0
AV10406,Honda,2019,179600.0,2.3,228.0,Hybrid,Manual,4,3,,Vaughan,19456.0
AV10155,Ford,2019,142974.0,1.9,160.0,Electric,Automatic,4,2,1.0,Toronto,14368.0
AV10059,Ford,2010,326029.0,1.2,147.0,Gasoline,Automatic,4,1,0.0,Mississauga,5305.0
AV10193,Ford,2020,106736.0,1.8,200.0,Hybrid,Manual,4,2,0.0,Brampton,18018.0
AV10098,Volkswagen,2022,101554.0,1.7,179.0,Hybrid,Automatic,4,2,,Vaughan,
AV10500,Toyota,2009,224158.0,1.6,129.0,Diesel,Manual,4,5,0.0,Vaughan,4896.0
AV10488,Toyota,2013,155394.0,2.2,212.0,Gasoline,Manual,4,3,0.0,Markham,11469.0
AV10041,Toyota,2006,391406.0,2.1,188.0,Gasoline,auto,4,1,0.0,Scarborough,5185.0
AV10281,Hyundai,2008,249698.0,1.8,157.0,Gasoline,Automatic,2,2,0.0,Brampton,6126.0
AV10227,Honda,2007,,1.8,181.0,Hybrid,Automatic,4,3,0.0,Scarborough,5071.0
AV10240,Ford,2019,158325.0,1.2,149.0,Gasoline,Automatic,4,3,1.0,Scarborough,11554.0
AV10079,Chevrolet,2010,218820.0,1.1,191.0,Electric,Manual,4,2,0.0,Toronto,8962.0
AV10028,Volkswagen,2017,189112.0,1.0,95.0,Diesel,Automatic,2,2,0.0,Brampton,10494.0
AV10403,Hyundai,2014,204348.0,2.0,226.0,Gasoline,Automatic,4,2,0.0,Mississauga,10920.0
AV10387,Volkswagen,2005,270412.0,1.6,151.0,Gasoline,Automatic,4,2,,Markham,1886.0
AV10239,BMW,2009,259128.0,2.1,243.0,Hybrid,Automatic,4,5,0.0,Brampton,13529.0
AV10267,Toyota,2020,95362.0,1.6,160.0,Gasoline,Automatic,2,4,0.0,Brampton,18137.0
AV10212,Toyota,2012,329534.0,1.3,186.0,Hybrid,Automatic,4,2,0.0,Mississauga,9131.0
AV10418,Volkswagen,2012,176999.0,1.3,131.0,petrol,Automatic,4,2,2.0,Vaughan,150.0
AV10057,BMW,2018,129005.0,2.5,227.0,Diesel,Automatic,4,1,2.0,Vaughan,16200.0
AV10168,Nissan,2013,166411.0,2.0,,Hybrid,STD,4,2,2.0,Toronto,6707.0
AV10062,Chevrolet,2013,220311.0,1.3,138.0,Gasoline,Automatic,4,2,0.0,Brampton,6738.0
AV10436,BMW,2015,124671.0,2.2,254.0,Diesel,Automatic,4,6,0.0,Toronto,15086.0
AV10111,BMW,2015,211842.0,2.3,,Gasoline,Manual,4,3,0.0,Toronto,15275.0
AV10084,Hyundai,2009,328072.0,1.0,139.0,electric ,Automatic,2,2,0.0,Toronto,5401.0
AV10409,Hyundai,2010,338333.0,1.7,177.0,Gasoline,Automatic,4,1,,Scarborough,6491.0
AV10376,Toyota,2014,134308.0,1.5,144.0,Gasoline,Manual,4,1,,Brampton,10587.0
AV10441,Honda,2019,153971.0,1.2,102.0,Hybrid,Manual,2,3,0.0,Brampton,15544.0
AV10452,BMW,2010,296642.0,2.5,298.0,Gasoline,Automatic,4,1,2.0,Mississauga,10237.0
AV10129,Volkswagen,2022,63577.0,2.0,209.0,Gasoline,Automatic,4,3,0.0,Mississauga,25444.0
AV10258,BMW,2023,26464.0,1.8,207.0,Electric,AUTOMATIC,4,3,1.0,Scarborough,36696.0
AV10096,Chevrolet,2017,121402.0,1.0,122.0,petrol,Manual,4,4,0.0,Scarborough,12600.0
AV10303,Ford,2017,169870.0,1.1,122.0,Diesel,Automatic,4,2,0.0,Markham,10770.0
AV10177,Chevrolet,2005,237008.0,1.3,114.0,gas,Automatic,4,3,1.0,Scarborough,2022.0
AV10382,Volkswagen,2021,101618.0,2.1,152.0,Diesel,Automatic,4,4,1.0,Mississauga,21427.0
AV10497,Hyundai,2022,35412.0,1.9,237.0,Diesel,Automatic,4,3,0.0,Toronto,24409.0
AV10141,Volkswagen,2021,102698.0,1.2,105.0,GASOLINE,Automatic,4,5,0.0,Mississauga,18604.0
AV10481,Volkswagen,2019,88133.0,1.6,163.0,Hybrid,Automatic,4,3,0.0,Toronto,14884.0
AV10324,Chevrolet,2010,280209.0,1.4,165.0,Gasoline,Manual,4,3,2.0,Brampton,2474.0
AV10386,Honda,2015,139797.0,1.8,210.0,Gasoline,Manual,4,2,1.0,Markham,10197.0
AV10492,Nissan,2015,123975.0,2.0,151.0,Hybrid,Automatic,4,2,0.0,Mississauga,9004.0
AV10506,Toyota,2015,178620.0,1.7,136.0,hybrid,Auto ,4,1,3.0,Scarborough,9543.0
AV10417,Nissan,2016,151157.0,1.1,124.0,Gasoline,Automatic,2,4,,Vaughan,11158.0
AV10463,Toyota,2013,195793.0,,176.0,Diesel,Manual,4,1,0.0,Vaughan,5882.0
AV10263,Chevrolet,2010,223506.0,1.4,140.0,Gasoline,Automatic,4,2,0.0,Toronto,
AV10081,Honda,2022,69855.0,1.9,180.0,Gasoline,Manual,4,1,0.0,Scarborough,
AV10482,Toyota,2013,231003.0,1.1,172.0,Electric,Automatic,4,3,0.0,Toronto,9481.0
AV10445,Volkswagen,2021,73346.0,1.8,195.0,Gasoline,Automatic,4,1,0.0,Vaughan,20264.0
AV10334,BMW,2016,111367.0,1.1,196.0,Gasoline,Automatic,4,1,1.0,Vaughan,
AV10218,Hyundai,2007,299963.0,1.2,108.0,Gasoline,Automatic,4,2,1.0,Markham,3113.0
AV10451,Chevrolet,2006,219129.0,2.2,196.0,Hybrid,AUTOMATIC,4,3,2.0,Brampton,5561.0
AV10283,Chevrolet,2007,188369.0,1.8,215.0,electric ,Automatic,2,3,1.0,Mississauga,9267.0
AV10414,Nissan,2018,125046.0,1.9,214.0,Gasoline,Automatic,2,4,0.0,Brampton,12246.0
AV10308,Honda,2006,320212.0,1.1,148.0,Gasoline,Automatic,4,1,0.0,Toronto,2609.0
AV10053,Nissan,2011,200363.0,1.6,194.0,Gasoline,Manual,4,4,0.0,Markham,8113.0
AV10171,Hyundai,2006,,1.5,213.0,Gasoline,Automatic,4,2,0.0,Toronto,7028.0
AV10200,Hyundai,2018,139616.0,1.6,204.0,Gasoline,Manual,4,1,0.0,Toronto,15588.0
AV10293,Toyota,2009,317817.0,1.7,202.0,Gasoline,Automatic,4,3,0.0,Mississauga,7185.0
AV10139,Chevrolet,2008,348900.0,2.1,242.0,Gasoline,Automatic,2,2,0.0,Vaughan,6501.0
AV10284,Chevrolet,2018,188450.0,1.7,193.0,Electric,Automatic,2,1,0.0,Vaughan,16190.0
AV10295,Volkswagen,2023,55350.0,1.5,201.0,Diesel,Automatic,4,2,1.0,Markham,25223.0
AV10066,Nissan,2017,58180.0,2.0,249.0,Gasoline,Manual,2,1,0.0,Markham,14169.0
AV10435,BMW,2022,60070.0,2.5,298.0,Hybrid,Auto ,2,3,0.0,Markham,34016.0
AV10455,BMW,2019,141660.0,2.2,218.0,Gasoline,Automatic,4,1,1.0,Scarborough,18646.0
AV10305,BMW,2015,201634.0,2.6,266.0,Gasoline,Automatic,4,2,0.0,Scarborough,12619.0
AV10222,Nissan,2022,31208.0,1.6,165.0,Gasoline,Automatic,4,3,0.0,Brampton,23847.0
AV10478,Nissan,2015,274226.0,1.1,121.0,hybrid,Automatic,4,6,0.0,Vaughan,9056.0
AV10099,Chevrolet,2009,275265.0,2.3,229.0,Electric,Automatic,4,2,,Mississauga,8100.0
AV10294,Chevrolet,2022,80052.0,1.3,136.0,Gasoline,Automatic,4,1,0.0,Toronto,
AV10148,Volkswagen,2007,276362.0,2.2,241.0,Hybrid,Automatic,4,6,0.0,Brampton,8309.0
AV10015,Toyota,2018,91710.0,2.2,204.0,HEV,Manual,4,3,0.0,Mississauga,17976.0
AV10163,Toyota,2021,74251.0,2.2,222.0,Gasoline,Automatic,4,2,,Scarborough,21876.0
AV10300,Honda,2010,159125.0,1.9,198.0,DSL,Automatic,4,2,0.0,Mississauga,6563.0
AV10046,Honda,2016,209434.0,1.8,234.0,Hybrid,Automatic,4,1,0.0,Brampton,10528.0
AV10086,Ford,2008,274497.0,2.1,231.0,Gasoline,Automatic,4,3,1.0,Markham,5895.0
AV10037,Nissan,2014,165977.0,1.3,98.0,Diesel,Automatic,4,2,1.0,Mississauga,5213.0
AV10439,Nissan,2018,127687.0,2.4,194.0,electric ,Automatic,4,1,1.0,Toronto,14135.0
AV10385,Nissan,2017,161970.0,2.4,251.0,Hybrid,AUTOMATIC,4,1,0.0,Markham,14222.0
AV10517,Honda,2013,243830.0,2.1,185.0,Gasoline,auto,2,3,0.0,Markham,9171.0
AV10206,Toyota,2019,72301.0,2.0,211.0,Gasoline,Automatic,4,1,1.0,Toronto,17641.0
AV10407,Nissan,2016,91909.0,1.2,197.0,Diesel,Automatic,2,2,0.0,Scarborough,11857.0
AV10363,Volkswagen,2008,339358.0,2.1,238.0,Hybrid,Automatic,4,4,,Mississauga,6758.0
AV10172,Ford,2007,350046.0,2.2,235.0,Hybrid,auto,4,4,0.0,Mississauga,8409.0
AV10073,Toyota,2017,151913.0,2.1,254.0,petrol,Automatic,4,2,0.0,Brampton,
AV10465,Chevrolet,2020,89659.0,2.3,217.0,Gasoline,Automatic,4,1,0.0,Vaughan,17713.0
AV10104,Nissan,2014,214318.0,2.0,252.0,Gasoline,Automatic,4,1,3.0,Brampton,9932.0
AV10249,Honda,2005,307250.0,1.0,120.0,Gasoline,Automatic,4,1,0.0,Mississauga,4254.0
AV10420,Chevrolet,2012,166945.0,1.3,125.0,Gasoline,Automatic,2,1,1.0,Toronto,6971.0
AV10016,Chevrolet,2021,70435.0,1.4,110.0,Gasoline,Automatic,4,1,0.0,Scarborough,18616.0
AV10330,Toyota,2006,163520.0,1.4,201.0,Hybrid,Automatic,4,3,0.0,Markham,7408.0
AV10091,Volkswagen,2007,229619.0,1.4,178.0,Gasoline,Automatic,4,2,0.0,Brampton,5498.0
AV10088,Nissan,2017,123009.0,1.6,161.0,Gasoline,auto,4,1,0.0,Brampton,11120.0
AV10401,Volkswagen,2006,114608.0,1.5,177.0,GASOLINE,auto,4,6,0.0,Markham,3336.0
AV10140,Toyota,2016,223995.0,1.9,173.0,Gas,Automatic,4,2,0.0,Scarborough,10617.0
AV10194,Honda,2023,62578.0,1.6,178.0,HEV,Automatic,4,2,0.0,Toronto,
AV10205,Toyota,2015,127286.0,1.0,173.0,Gasoline,Manual,4,2,0.0,Mississauga,13031.0
AV10102,Ford,2018,85326.0,1.8,249.0,Hybrid,Auto ,4,2,0.0,Vaughan,
AV10238,Nissan,2010,278017.0,1.8,161.0,Gasoline,Automatic,4,2,2.0,Mississauga,5067.0
AV10464,Hyundai,2007,228560.0,1.1,147.0,Gasoline,Automatic,4,1,0.0,Toronto,1800.0
AV10174,Chevrolet,2018,118008.0,1.0,134.0,Diesel,Automatic,4,1,,Brampton,14158.0
AV10170,BMW,2017,160181.0,1.9,259.0,Hybrid,Automatic,4,2,1.0,Toronto,18679.0
AV10296,Toyota,2006,262841.0,1.2,134.0,Gasoline,Automatic,2,3,0.0,Markham,3412.0
AV10157,Honda,2006,266399.0,1.7,193.0,Gasoline,Automatic,4,2,1.0,Markham,4327.0
AV10289,Volkswagen,2011,197142.0,1.3,162.0,diesel ,Automatic,4,1,2.0,Brampton,6837.0
AV10070,BMW,2021,102237.0,2.1,190.0,Gasoline,Manual,4,3,0.0,Scarborough,27010.0
AV10133,Honda,2008,189040.0,1.5,167.0,diesel ,Manual,2,1,1.0,Markham,5449.0
AV10519,Chevrolet,2013,182661.0,1.9,198.0,Gasoline,Automatic,4,3,0.0,Markham,7973.0
AV10313,Volkswagen,2020,110950.0,1.0,101.0,Hybrid,Automatic,4,1,0.0,Mississauga,15409.0
AV10103,Nissan,2022,60482.0,2.6,331.0,Gasoline,Automatic,4,3,1.0,Markham,26511.0
AV10425,Toyota,2010,,,138.0,Gasoline,Automatic,4,2,0.0,Toronto,3050.0
AV10018,BMW,2011,166560.0,1.9,233.0,Diesel,Automatic,4,1,2.0,Vaughan,
